run,tag,step,value
mc_real_v11_no_chat_spam,mc/ep_aim_rate,512,0.524864
mc_real_v11_no_chat_spam,mc/ep_aim_rate,1024,0.394388
mc_real_v11_no_chat_spam,mc/ep_aim_rate,1536,0.1
mc_real_v11_no_chat_spam,mc/ep_aim_rate,2048,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,2560,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,3072,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,3584,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,4096,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,4608,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,5120,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,5632,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,6144,0
mc_real_v11_no_chat_spam,mc/ep_aim_rate,6656,0
mc_real_v11_no_chat_spam,mc/ep_approach_total,512,5.70865
mc_real_v11_no_chat_spam,mc/ep_approach_total,1024,12.1404
mc_real_v11_no_chat_spam,mc/ep_approach_total,1536,7.01035
mc_real_v11_no_chat_spam,mc/ep_approach_total,2048,0.16
mc_real_v11_no_chat_spam,mc/ep_approach_total,2560,0.16
mc_real_v11_no_chat_spam,mc/ep_approach_total,3072,0.16
mc_real_v11_no_chat_spam,mc/ep_approach_total,3584,0.08
mc_real_v11_no_chat_spam,mc/ep_approach_total,4096,0.08
mc_real_v11_no_chat_spam,mc/ep_approach_total,4608,0
mc_real_v11_no_chat_spam,mc/ep_approach_total,5120,0
mc_real_v11_no_chat_spam,mc/ep_approach_total,5632,0
mc_real_v11_no_chat_spam,mc/ep_approach_total,6144,0
mc_real_v11_no_chat_spam,mc/ep_approach_total,6656,0
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,512,13.3425
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,1024,6.20613
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,1536,2.80717
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,2048,3.42431
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,2560,3.22741
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,3072,3.18318
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,3584,1.46546
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,4096,1.40121
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,4608,0.000761981
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,5120,0
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,5632,0
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,6144,0
mc_real_v11_no_chat_spam,mc/ep_frame_diff_mean,6656,0
mc_real_v11_no_chat_spam,mc/ep_full_log_max,512,0.389276
mc_real_v11_no_chat_spam,mc/ep_full_log_max,1024,0.451572
mc_real_v11_no_chat_spam,mc/ep_full_log_max,1536,0.248423
mc_real_v11_no_chat_spam,mc/ep_full_log_max,2048,0.26295
mc_real_v11_no_chat_spam,mc/ep_full_log_max,2560,0.306505
mc_real_v11_no_chat_spam,mc/ep_full_log_max,3072,0.393617
mc_real_v11_no_chat_spam,mc/ep_full_log_max,3584,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_max,4096,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_max,4608,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_max,5120,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_max,5632,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_max,6144,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_max,6656,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,512,0.281543
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,1024,0.296217
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,1536,0.140458
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,2048,0.210598
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,2560,0.254422
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,3072,0.341535
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,3584,0.428008
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,4096,0.428263
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,4608,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,5120,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,5632,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,6144,0.437173
mc_real_v11_no_chat_spam,mc/ep_full_log_mean,6656,0.437173
mc_real_v11_no_chat_spam,mc/ep_jump_rate,512,0.145425
mc_real_v11_no_chat_spam,mc/ep_jump_rate,1024,0.171719
mc_real_v11_no_chat_spam,mc/ep_jump_rate,1536,0.129163
mc_real_v11_no_chat_spam,mc/ep_jump_rate,2048,0.124148
mc_real_v11_no_chat_spam,mc/ep_jump_rate,2560,0.107343
mc_real_v11_no_chat_spam,mc/ep_jump_rate,3072,0.0904431
mc_real_v11_no_chat_spam,mc/ep_jump_rate,3584,0.0900777
mc_real_v11_no_chat_spam,mc/ep_jump_rate,4096,0.0851469
mc_real_v11_no_chat_spam,mc/ep_jump_rate,4608,0.108922
mc_real_v11_no_chat_spam,mc/ep_jump_rate,5120,0.128636
mc_real_v11_no_chat_spam,mc/ep_jump_rate,5632,0.153429
mc_real_v11_no_chat_spam,mc/ep_jump_rate,6144,0.178601
mc_real_v11_no_chat_spam,mc/ep_jump_rate,6656,0.205044
mc_real_v11_no_chat_spam,mc/ep_logs_mean,512,1
mc_real_v11_no_chat_spam,mc/ep_logs_mean,1024,0.8
mc_real_v11_no_chat_spam,mc/ep_logs_mean,1536,0.7
mc_real_v11_no_chat_spam,mc/ep_logs_mean,2048,0.7
mc_real_v11_no_chat_spam,mc/ep_logs_mean,2560,0.5
mc_real_v11_no_chat_spam,mc/ep_logs_mean,3072,0.4
mc_real_v11_no_chat_spam,mc/ep_logs_mean,3584,0.2
mc_real_v11_no_chat_spam,mc/ep_logs_mean,4096,0.1
mc_real_v11_no_chat_spam,mc/ep_logs_mean,4608,0
mc_real_v11_no_chat_spam,mc/ep_logs_mean,5120,0
mc_real_v11_no_chat_spam,mc/ep_logs_mean,5632,0
mc_real_v11_no_chat_spam,mc/ep_logs_mean,6144,0
mc_real_v11_no_chat_spam,mc/ep_logs_mean,6656,0
mc_real_v11_no_chat_spam,mc/ep_return_mean,512,41.5086
mc_real_v11_no_chat_spam,mc/ep_return_mean,1024,68.089
mc_real_v11_no_chat_spam,mc/ep_return_mean,1536,58.4602
mc_real_v11_no_chat_spam,mc/ep_return_mean,2048,48.2141
mc_real_v11_no_chat_spam,mc/ep_return_mean,2560,56.1733
mc_real_v11_no_chat_spam,mc/ep_return_mean,3072,72.2203
mc_real_v11_no_chat_spam,mc/ep_return_mean,3584,86.5791
mc_real_v11_no_chat_spam,mc/ep_return_mean,4096,90.9709
mc_real_v11_no_chat_spam,mc/ep_return_mean,4608,98.284
mc_real_v11_no_chat_spam,mc/ep_return_mean,5120,98.2988
